session_uid|sched_start|start_actual|len_min|setting|session_state|session_label|org_name|program_name|group_size|n_present|n_absent|subject|tutor_uid|tutor_ok|session_notes|skill_list|student_uid|roster_state|present_flag|join_ts|leave_ts|mins_attended|school_uid|school_name|grade|section_label|course_name|exported_at
8bf21c15-c439-42ab-a95e-7a028ff1b716|12/03/2025 13:50|12/03/2025 13:50|30|IN PERSON|COMPLETED|Ivybrook - 6th Grade - 1:50pm|Fenwick Hollow Academy- SummitSteps|Summit Steps Tutoring Program: 30min (In Person)|3|3|0|MATH|3d98143d-0a73-4fab-a8a6-34b6d0831a5d|1||7.3B Write equations to represent proportional relationships, 7.6(H) Solve problems using data represented in dot plots|1d4e3809-560a-456b-9f6f-d8414597558d|ACCEPTED|1||||b63b855d-5367-4ea8-a331-b94f3b48802d|Ivybrook MS|6|6012/176 - MATH 06-[09B]|MATH 06|2026-01-05 06:00:00
8bf21c15-c439-42ab-a95e-7a028ff1b716|12/03/2025 13:50|12/03/2025 13:50|30|IN PERSON|COMPLETED|Ivybrook - 6th Grade - 1:50pm|Fenwick Hollow Academy- SummitSteps|Summit Steps Tutoring Program: 30min (In Person)|3|3|0|MATH|3d98143d-0a73-4fab-a8a6-34b6d0831a5d|1||7.3B Write equations to represent proportional relationships, 7.6(H) Solve problems using data represented in dot plots|b6ef1fe6-f0ab-4bc0-96d2-34fb883d6e8f|ACCEPTED|1||||b63b855d-5367-4ea8-a331-b94f3b48802d|Ivybrook MS|6|6012/176 - MATH 06-[09B]|MATH 06|2026-01-05 06:00:00
8bf21c15-c439-42ab-a95e-7a028ff1b716|12/03/2025 13:50|12/03/2025 13:50|30|IN PERSON|COMPLETED|Ivybrook - 6th Grade - 1:50pm|Fenwick Hollow Academy- SummitSteps|Summit Steps Tutoring Program: 30min (In Person)|3|3|0|MATH|3d98143d-0a73-4fab-a8a6-34b6d0831a5d|1||7.3B Write equations to represent proportional relationships, 7.6(H) Solve problems using data represented in dot plots|1332bacd-4386-4b8d-854e-26555e24d754|ACCEPTED|1||||b63b855d-5367-4ea8-a331-b94f3b48802d|Ivybrook MS|6|6012/176 - MATH 06-[09B]|MATH 06|2026-01-05 06:00:00
12ed7c56-7a30-472a-a093-93e6f56ccf78|12/05/2025 13:50|12/05/2025 13:48|30|IN PERSON|COMPLETED|Ivybrook - 6th Grade - 1:50pm|Fenwick Hollow Academy- SummitSteps|Summit Steps Tutoring Program: 30min (In Person)|3|3|0|MATH|3d98143d-0a73-4fab-a8a6-34b6d0831a5d|1||A.2(C) Write linear equations given a point and a slope, 7.6(H) Solve problems using data represented in dot plots, 8.5(G) Identify functions using ordered pairs, tables, and graphs|1d4e3809-560a-456b-9f6f-d8414597558d|ACCEPTED|1|12/05/2025 13:53|12/05/2025 14:16|23.0|b63b855d-5367-4ea8-a331-b94f3b48802d|Ivybrook MS|6|6012/176 - MATH 06-[09B]|MATH 06|2026-01-05 06:00:00
12ed7c56-7a30-472a-a093-93e6f56ccf78|12/05/2025 13:50|12/05/2025 13:48|30|IN PERSON|COMPLETED|Ivybrook - 6th Grade - 1:50pm|Fenwick Hollow Academy- SummitSteps|Summit Steps Tutoring Program: 30min (In Person)|3|3|0|MATH|3d98143d-0a73-4fab-a8a6-34b6d0831a5d|1||A.2(C) Write linear equations given a point and a slope, 7.6(H) Solve problems using data represented in dot plots, 8.5(G) Identify functions using ordered pairs, tables, and graphs|b6ef1fe6-f0ab-4bc0-96d2-34fb883d6e8f|ACCEPTED|1||||b63b855d-5367-4ea8-a331-b94f3b48802d|Ivybrook MS|6|6012/176 - MATH 06-[09B]|MATH 06|2026-01-05 06:00:00
12ed7c56-7a30-472a-a093-93e6f56ccf78|12/05/2025 13:50|12/05/2025 13:48|30|IN PERSON|COMPLETED|Ivybrook - 6th Grade - 1:50pm|Fenwick Hollow Academy- SummitSteps|Summit Steps Tutoring Program: 30min (In Person)|3|3|0|MATH|3d98143d-0a73-4fab-a8a6-34b6d0831a5d|1||A.2(C) Write linear equations given a point and a slope, 7.6(H) Solve problems using data represented in dot plots, 8.5(G) Identify functions using ordered pairs, tables, and graphs|1332bacd-4386-4b8d-854e-26555e24d754|ACCEPTED|1||||b63b855d-5367-4ea8-a331-b94f3b48802d|Ivybrook MS|6|6012/176 - MATH 06-[09B]|MATH 06|2026-01-05 06:00:00
9c8ffffe-dc7d-4fb4-9498-01966a33eef3|12/12/2025 13:50|12/12/2025 13:50|30|IN PERSON|COMPLETED|Ivybrook - 6th Grade - 1:50pm|Fenwick Hollow Academy- SummitSteps|Summit Steps Tutoring Program: 30min (In Person)|3|2|1|MATH|3d98143d-0a73-4fab-a8a6-34b6d0831a5d|1|"Session Feedback: ""Focused on percent change. Group is close to mastery, will re-assess next session."";"|8.8(C) Model and solve equations with variables on both sides, 6.4(B) Apply qualitative and quantitative reasoning to solve ratio problems, 6.10(A) Model and solve one-variable, one-step equations|1d4e3809-560a-456b-9f6f-d8414597558d|ACCEPTED|1||||b63b855d-5367-4ea8-a331-b94f3b48802d|Ivybrook MS|6|6012/176 - MATH 06-[09B]|MATH 06|2026-01-05 06:00:00
9c8ffffe-dc7d-4fb4-9498-01966a33eef3|12/12/2025 13:50|12/12/2025 13:50|30|IN PERSON|COMPLETED|Ivybrook - 6th Grade - 1:50pm|Fenwick Hollow Academy- SummitSteps|Summit Steps Tutoring Program: 30min (In Person)|3|2|1|MATH|3d98143d-0a73-4fab-a8a6-34b6d0831a5d|1|"Session Feedback: ""Focused on percent change. Group is close to mastery, will re-assess next session."";"|8.8(C) Model and solve equations with variables on both sides, 6.4(B) Apply qualitative and quantitative reasoning to solve ratio problems, 6.10(A) Model and solve one-variable, one-step equations|b6ef1fe6-f0ab-4bc0-96d2-34fb883d6e8f|ACCEPTED|1|12/12/2025 13:51|12/12/2025 14:13|22.0|b63b855d-5367-4ea8-a331-b94f3b48802d|Ivybrook MS|6|6012/176 - MATH 06-[09B]|MATH 06|2026-01-05 06:00:00
9c8ffffe-dc7d-4fb4-9498-01966a33eef3|12/12/2025 13:50|12/12/2025 13:50|30|IN PERSON|COMPLETED|Ivybrook - 6th Grade - 1:50pm|Fenwick Hollow Academy- SummitSteps|Summit Steps Tutoring Program: 30min (In Person)|3|2|1|MATH|3d98143d-0a73-4fab-a8a6-34b6d0831a5d|1|"Session Feedback: ""Focused on percent change. Group is close to mastery, will re-assess next session."";"|8.8(C) Model and solve equations with variables on both sides, 6.4(B) Apply qualitative and quantitative reasoning to solve ratio problems, 6.10(A) Model and solve one-variable, one-step equations|1332bacd-4386-4b8d-854e-26555e24d754|NO_SHOW|0||||b63b855d-5367-4ea8-a331-b94f3b48802d|Ivybrook MS|6|6012/176 - MATH 06-[09B]|MATH 06|2026-01-05 06:00:00
03be7737-f148-4a80-8115-b16eecd814a3|12/17/2025 13:50|12/17/2025 13:49|30|IN PERSON|MISSED|Ivybrook - 6th Grade - 1:50pm|Fenwick Hollow Academy- SummitSteps|Summit Steps Tutoring Program: 30min (In Person)|3|0|3|MATH|3d98143d-0a73-4fab-a8a6-34b6d0831a5d|1|||1d4e3809-560a-456b-9f6f-d8414597558d|NO_SHOW|0||||b63b855d-5367-4ea8-a331-b94f3b48802d|Ivybrook MS|6|6012/176 - MATH 06-[09B]|MATH 06|2026-01-05 06:00:00
03be7737-f148-4a80-8115-b16eecd814a3|12/17/2025 13:50|12/17/2025 13:49|30|IN PERSON|MISSED|Ivybrook - 6th Grade - 1:50pm|Fenwick Hollow Academy- SummitSteps|Summit Steps Tutoring Program: 30min (In Person)|3|0|3|MATH|3d98143d-0a73-4fab-a8a6-34b6d0831a5d|1|||b6ef1fe6-f0ab-4bc0-96d2-34fb883d6e8f|NO_SHOW|0||||b63b855d-5367-4ea8-a331-b94f3b48802d|Ivybrook MS|6|6012/176 - MATH 06-[09B]|MATH 06|2026-01-05 06:00:00
03be7737-f148-4a80-8115-b16eecd814a3|12/17/2025 13:50|12/17/2025 13:49|30|IN PERSON|MISSED|Ivybrook - 6th Grade - 1:50pm|Fenwick Hollow Academy- SummitSteps|Summit Steps Tutoring Program: 30min (In Person)|3|0|3|MATH|3d98143d-0a73-4fab-a8a6-34b6d0831a5d|1|||1332bacd-4386-4b8d-854e-26555e24d754|NO_SHOW|0||||b63b855d-5367-4ea8-a331-b94f3b48802d|Ivybrook MS|6|6012/176 - MATH 06-[09B]|MATH 06|2026-01-05 06:00:00
c7375e22-ebaf-4e2b-a8e7-9d0d1378a137|12/19/2025 13:50|12/19/2025 13:51|30|IN PERSON|COMPLETED|Ivybrook - 6th Grade - 1:50pm|Fenwick Hollow Academy- SummitSteps|Summit Steps Tutoring Program: 30min (In Person)|3|2|1|MATH|3d98143d-0a73-4fab-a8a6-34b6d0831a5d|1|"Session Feedback: ""Focused on percent change. Group is close to mastery, will re-assess next session."";"|7.6(H) Solve problems using data represented in dot plots|1d4e3809-560a-456b-9f6f-d8414597558d|NO_SHOW|0||||b63b855d-5367-4ea8-a331-b94f3b48802d|Ivybrook MS|6|6012/176 - MATH 06-[09B]|MATH 06|2026-01-05 06:00:00
c7375e22-ebaf-4e2b-a8e7-9d0d1378a137|12/19/2025 13:50|12/19/2025 13:51|30|IN PERSON|COMPLETED|Ivybrook - 6th Grade - 1:50pm|Fenwick Hollow Academy- SummitSteps|Summit Steps Tutoring Program: 30min (In Person)|3|2|1|MATH|3d98143d-0a73-4fab-a8a6-34b6d0831a5d|1|"Session Feedback: ""Focused on percent change. Group is close to mastery, will re-assess next session."";"|7.6(H) Solve problems using data represented in dot plots|b6ef1fe6-f0ab-4bc0-96d2-34fb883d6e8f|ACCEPTED|1||||b63b855d-5367-4ea8-a331-b94f3b48802d|Ivybrook MS|6|6012/176 - MATH 06-[09B]|MATH 06|2026-01-05 06:00:00
