session_uid|sched_start|start_actual|len_min|setting|session_state|session_label|org_name|program_name|group_size|n_present|n_absent|subject|tutor_uid|tutor_ok|session_notes|skill_list|student_uid|roster_state|present_flag|join_ts|leave_ts|mins_attended|school_uid|school_name|grade_level|section_label|course_name|exported_at|funding_code
b89c9116-7c0f-41c9-942b-ebaeca39477d|01/09/2026 13:50|01/09/2026 13:49|30|IN PERSON|COMPLETED|Ivybrook - 6th Grade - 1:50pm|Fenwick Hollow Academy- SummitSteps|Summit Steps Tutoring Program: 30min (In Person)|3|3|0|MATH|3d98143d-0a73-4fab-a8a6-34b6d0831a5d|1|"Session Feedback: ""Worked through word problems on unit rates. Two students needed extra scaffolding."";"|7.6(H) Solve problems using data represented in dot plots, 8.8(C) Model and solve equations with variables on both sides|1d4e3809-560a-456b-9f6f-d8414597558d|ACCEPTED|1|01/09/2026 13:54|01/09/2026 14:21|27.0|b63b855d-5367-4ea8-a331-b94f3b48802d|Ivybrook MS|6|6012/176 - MATH 06-[09B]|MATH 06|2026-02-04 06:00:00|
b89c9116-7c0f-41c9-942b-ebaeca39477d|01/09/2026 13:50|01/09/2026 13:49|30|IN PERSON|COMPLETED|Ivybrook - 6th Grade - 1:50pm|Fenwick Hollow Academy- SummitSteps|Summit Steps Tutoring Program: 30min (In Person)|3|3|0|MATH|3d98143d-0a73-4fab-a8a6-34b6d0831a5d|1|"Session Feedback: ""Worked through word problems on unit rates. Two students needed extra scaffolding."";"|7.6(H) Solve problems using data represented in dot plots, 8.8(C) Model and solve equations with variables on both sides|b6ef1fe6-f0ab-4bc0-96d2-34fb883d6e8f|ACCEPTED|1||||b63b855d-5367-4ea8-a331-b94f3b48802d|Ivybrook MS|6|6012/176 - MATH 06-[09B]|MATH 06|2026-02-04 06:00:00|T1-B
b89c9116-7c0f-41c9-942b-ebaeca39477d|01/09/2026 13:50|01/09/2026 13:49|30|IN PERSON|COMPLETED|Ivybrook - 6th Grade - 1:50pm|Fenwick Hollow Academy- SummitSteps|Summit Steps Tutoring Program: 30min (In Person)|3|3|0|MATH|3d98143d-0a73-4fab-a8a6-34b6d0831a5d|1|"Session Feedback: ""Worked through word problems on unit rates. Two students needed extra scaffolding."";"|7.6(H) Solve problems using data represented in dot plots, 8.8(C) Model and solve equations with variables on both sides|1332bacd-4386-4b8d-854e-26555e24d754|ACCEPTED|1||||b63b855d-5367-4ea8-a331-b94f3b48802d|Ivybrook MS|6|6012/176 - MATH 06-[09B]|MATH 06|2026-02-04 06:00:00|T1-A
6920e5f5-e2f5-4f19-acc7-38daae4a406f|01/14/2026 13:50|01/14/2026 13:49|30|IN PERSON|COMPLETED|Ivybrook - 6th Grade - 1:50pm|Fenwick Hollow Academy- SummitSteps|Summit Steps Tutoring Program: 30min (In Person)|3|3|0|MATH|3d98143d-0a73-4fab-a8a6-34b6d0831a5d|1|"Session Feedback: ""Reviewed ratio tables and finished the practice packet."";"|7.6(H) Solve problems using data represented in dot plots, 8.8(C) Model and solve equations with variables on both sides|1d4e3809-560a-456b-9f6f-d8414597558d|ACCEPTED|1||||b63b855d-5367-4ea8-a331-b94f3b48802d|Ivybrook MS|6|6012/176 - MATH 06-[09B]|MATH 06|2026-02-04 06:00:00|T1-A
6920e5f5-e2f5-4f19-acc7-38daae4a406f|01/14/2026 13:50|01/14/2026 13:49|30|IN PERSON|COMPLETED|Ivybrook - 6th Grade - 1:50pm|Fenwick Hollow Academy- SummitSteps|Summit Steps Tutoring Program: 30min (In Person)|3|3|0|MATH|3d98143d-0a73-4fab-a8a6-34b6d0831a5d|1|"Session Feedback: ""Reviewed ratio tables and finished the practice packet."";"|7.6(H) Solve problems using data represented in dot plots, 8.8(C) Model and solve equations with variables on both sides|b6ef1fe6-f0ab-4bc0-96d2-34fb883d6e8f|ACCEPTED|1||||b63b855d-5367-4ea8-a331-b94f3b48802d|Ivybrook MS|6|6012/176 - MATH 06-[09B]|MATH 06|2026-02-04 06:00:00|T1-B
6920e5f5-e2f5-4f19-acc7-38daae4a406f|01/14/2026 13:50|01/14/2026 13:49|30|IN PERSON|COMPLETED|Ivybrook - 6th Grade - 1:50pm|Fenwick Hollow Academy- SummitSteps|Summit Steps Tutoring Program: 30min (In Person)|3|3|0|MATH|3d98143d-0a73-4fab-a8a6-34b6d0831a5d|1|"Session Feedback: ""Reviewed ratio tables and finished the practice packet."";"|7.6(H) Solve problems using data represented in dot plots, 8.8(C) Model and solve equations with variables on both sides|1332bacd-4386-4b8d-854e-26555e24d754|ACCEPTED|1|01/14/2026 13:50|01/14/2026 14:14|24.0|b63b855d-5367-4ea8-a331-b94f3b48802d|Ivybrook MS|6|6012/176 - MATH 06-[09B]|MATH 06|2026-02-04 06:00:00|
78ccbb21-df4a-4b75-b240-52f318d8dfc9|01/16/2026 13:50|01/16/2026 13:52|30|IN PERSON|COMPLETED|Ivybrook - 6th Grade - 1:50pm|Fenwick Hollow Academy- SummitSteps|Summit Steps Tutoring Program: 30min (In Person)|3|2|1|MATH|3d98143d-0a73-4fab-a8a6-34b6d0831a5d|1||7.3B Write equations to represent proportional relationships, 7.6(H) Solve problems using data represented in dot plots, 6.4(B) Apply qualitative and quantitative reasoning to solve ratio problems|1d4e3809-560a-456b-9f6f-d8414597558d|ACCEPTED|1||||b63b855d-5367-4ea8-a331-b94f3b48802d|Ivybrook MS|6|6012/176 - MATH 06-[09B]|MATH 06|2026-02-04 06:00:00|T1-B
78ccbb21-df4a-4b75-b240-52f318d8dfc9|01/16/2026 13:50|01/16/2026 13:52|30|IN PERSON|COMPLETED|Ivybrook - 6th Grade - 1:50pm|Fenwick Hollow Academy- SummitSteps|Summit Steps Tutoring Program: 30min (In Person)|3|2|1|MATH|3d98143d-0a73-4fab-a8a6-34b6d0831a5d|1||7.3B Write equations to represent proportional relationships, 7.6(H) Solve problems using data represented in dot plots, 6.4(B) Apply qualitative and quantitative reasoning to solve ratio problems|b6ef1fe6-f0ab-4bc0-96d2-34fb883d6e8f|NO_SHOW|0||||b63b855d-5367-4ea8-a331-b94f3b48802d|Ivybrook MS|6|6012/176 - MATH 06-[09B]|MATH 06|2026-02-04 06:00:00|
78ccbb21-df4a-4b75-b240-52f318d8dfc9|01/16/2026 13:50|01/16/2026 13:52|30|IN PERSON|COMPLETED|Ivybrook - 6th Grade - 1:50pm|Fenwick Hollow Academy- SummitSteps|Summit Steps Tutoring Program: 30min (In Person)|3|2|1|MATH|3d98143d-0a73-4fab-a8a6-34b6d0831a5d|1||7.3B Write equations to represent proportional relationships, 7.6(H) Solve problems using data represented in dot plots, 6.4(B) Apply qualitative and quantitative reasoning to solve ratio problems|1332bacd-4386-4b8d-854e-26555e24d754|ACCEPTED|1|01/16/2026 13:52|01/16/2026 14:14|22.0|b63b855d-5367-4ea8-a331-b94f3b48802d|Ivybrook MS|6|6012/176 - MATH 06-[09B]|MATH 06|2026-02-04 06:00:00|
d88fae91-eca7-451f-bcc6-97d72afe3c22|01/21/2026 13:50|01/21/2026 13:49|30|IN PERSON|COMPLETED|Ivybrook - 6th Grade - 1:50pm|Fenwick Hollow Academy- SummitSteps|Summit Steps Tutoring Program: 30min (In Person)|3|2|1|MATH|3d98143d-0a73-4fab-a8a6-34b6d0831a5d|1|"Session Feedback: ""Focused on percent change. Group is close to mastery, will re-assess next session."";"||1d4e3809-560a-456b-9f6f-d8414597558d|ACCEPTED|1|01/21/2026 13:52|01/21/2026 14:19|27.0|b63b855d-5367-4ea8-a331-b94f3b48802d|Ivybrook MS|6|6012/176 - MATH 06-[09B]|MATH 06|2026-02-04 06:00:00|T2
